name,choice
Route,Law
Investigate a Friend Who Stole,0
Reclaim the Stolen Bicycle,1
Search for My Separated Sister,0
Returning a Lost Item,0
Consult About a certain Luggage,1
Investigate the Expert Cheaters,2
He Who Went Missing,0
Return a Certain Item,0
Bazaar Pickpocket Girl,1
Invalid Hush Money,1
Archaeological Survey of Underground Waterways,1
Crisis of the Kidnapped Daughter,1
Father Addicted to New Religion,0
Crisis of Leaked Confidential Info,0
Orbal Net Fraud Damage,1
Phase 1 Aid a Jaeger group,0
VS Phase 1 Boss,2
Consult about Threatening Letters,1
Consult about Tourists,1
VS Phase 2 Boss,2
VS Phase 3 Boss,1
Son Who Has Gone Astray,1
Lost Best Friend,0
